Year,Food,Food at home,Cereals and bakery products,Cereals and cereal products,Bakery products,"Meats, poultry, fish, and eggs",Beef,Pork,Poultry,Fish and seafood,Eggs,Dairy products,Fruits and vegetables,Fresh fruits,Fresh vegetables,Processed fruits,Processed vegetables,Sugar and other sweets,Fats and oils,Nonalcoholic beverages,Food away from home,Alcoholic beverages,Housing,Shelter,Owned dwellings,Mortgage interest and charges,Property taxes,Maintenance/rep/ins/other,Rented dwellings,"Utilities, fuels, and public services",Natural gas,Electricity,Fuel oil and other fuels,Telephone,Water and other public services,Housekeeping supplies,Laundry and cleaning supplies,Postage and stationery,Household furnishings and equipmen,Major appliances,"Small appliances, misc houseware",Apparel and services,Footwear,Other apparel products and service,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new","Cars and trucks, used",Other vehicles,Gasoline and motor oil,Other vehicle expenses,Vehicle finance charges,Vehicle Maintenance and repairs,Vehicle insurance,Public transportation,Health care,Health insurance,Medical services,Drugs,Entertainment,"Television, radios, sound equipmen","Pets, toys, and playground equipme",Personal care products and services,Education,Tobacco products and smoking supplies
1984,0.154918303,0.092762631,0.012336959,0.003955361,0.008381598,0.027593351,0.009370438,0.005603428,0.004002449,0.003154871,0.001648067,0.01191317,0.014738428,0.00437915,0.004332062,0.003390309,0.002636907,0.003484485,0.002636907,0.008381598,0.062155672,0.012949098,0.314262843,0.164288741,0.097094693,0.058906625,0.019823892,0.018364176,0.050383764,0.077129538,0.013985026,0.029618119,0.006592268,0.020483119,0.006498093,0.014455902,0.004096624,0.004049536,0.043603145,0.006733531,0.003154871,0.062108584,0.008711212,0.00993549,0.20266516,0.085369873,0.048500259,0.035598248,0.001271366,0.049818713,0.055469228,0.010029665,0.02264915,0.016433583,0.012007346,0.049394924,0.017422423,0.021377784,0.007863634,0.04967745,0.015162217,0.00894665,0.013608325,0.014267552,0.01073598
1985,0.151920304,0.08900249,0.012365098,0.00388867,0.008476428,0.025298204,0.008476428,0.005330537,0.003626513,0.00284004,0.001310788,0.011622318,0.014069122,0.004194521,0.004107135,0.003408048,0.002359418,0.003364355,0.00253419,0.008170577,0.062961507,0.013370035,0.309651767,0.167474986,0.098789706,0.060383624,0.019137502,0.01926858,0.051557653,0.072005942,0.012015555,0.028269323,0.005592695,0.019880281,0.006248088,0.014200201,0.004063442,0.004369293,0.040896579,0.005811159,0.002621576,0.062043955,0.008039498,0.010267838,0.200419452,0.089264648,0.052300433,0.035216498,0.001747717,0.045222179,0.054222921,0.011010617,0.020666754,0.016297461,0.011709704,0.048411762,0.016384847,0.021671691,0.007777341,0.051120724,0.016210076,0.009306593,0.013238957,0.014025429,0.009568751
1986,0.148800276,0.086008976,0.011867771,0.004013465,0.007897462,0.024253409,0.008156396,0.005006042,0.00366822,0.002761954,0.001294666,0.010832039,0.01380977,0.004401864,0.003970309,0.003107198,0.002330399,0.003193509,0.002200932,0.008329018,0.0627913,0.011695149,0.314690143,0.171715864,0.099473503,0.061755567,0.018039013,0.019678923,0.054462282,0.070990851,0.010702572,0.029086829,0.004617642,0.020326256,0.006257552,0.013637148,0.003970309,0.004229242,0.043069221,0.006732263,0.00241671,0.058087347,0.007206974,0.010184706,0.208959089,0.100897635,0.061065079,0.038537891,0.00125151,0.039487312,0.057914725,0.011608838,0.021232522,0.018125324,0.010702572,0.048981529,0.016010703,0.021664077,0.008285862,0.049585707,0.016010703,0.008717418,0.013076126,0.013550837,0.009925772
1987,0.147320172,0.084395481,0.012022034,0.004181577,0.007800249,0.022998673,0.007679627,0.004664067,0.00349805,0.002653693,0.001125809,0.011016847,0.01431386,0.004543444,0.004422822,0.003136183,0.002211411,0.002975353,0.002050581,0.007800249,0.062924691,0.011619959,0.304330345,0.167021833,0.095492743,0.058743114,0.018656266,0.018053154,0.054079048,0.067186683,0.009328133,0.02782357,0.003779502,0.020063528,0.006151743,0.013710747,0.003900125,0.004221784,0.04149411,0.006433195,0.002291826,0.058140002,0.007398175,0.010092075,0.184954365,0.081299505,0.045957139,0.034578425,0.000723734,0.035704234,0.056973986,0.011258092,0.02066664,0.018575851,0.010976639,0.045635479,0.015761328,0.018776889,0.008162117,0.047967512,0.015238631,0.008765229,0.013268465,0.013549918,0.009328133
1988,0.143332441,0.081685724,0.011931623,0.004168419,0.007763203,0.021071551,0.006960113,0.004206662,0.00321236,0.002485755,0.001070787,0.010478412,0.014264408,0.004627328,0.004206662,0.003250602,0.002179816,0.002982906,0.002103331,0.007610234,0.061646717,0.0102872,0.30896019,0.171823014,0.098244675,0.060002295,0.01927416,0.018968221,0.056139814,0.066809438,0.008948717,0.027113848,0.003747753,0.020536158,0.006501205,0.013805499,0.00386248,0.004321389,0.041416498,0.006462962,0.002294543,0.056942904,0.007495507,0.009828292,0.194768442,0.09029026,0.051818425,0.037554017,0.000879575,0.035641898,0.05816666,0.010860836,0.021148036,0.019427129,0.010669624,0.04963861,0.018126888,0.020230219,0.008528051,0.050824123,0.01590883,0.008795747,0.012772955,0.013078894,0.009254656
1989,0.14570466,0.083871421,0.012598259,0.004597136,0.008001123,0.021441606,0.007088714,0.004070747,0.003509264,0.002491578,0.001158057,0.010668164,0.014317799,0.004421673,0.004456766,0.003123245,0.002316115,0.003017967,0.002070466,0.007580011,0.06183324,0.009966311,0.302112577,0.169672937,0.100014037,0.061096294,0.020178271,0.01870438,0.052638967,0.064395003,0.008667883,0.025898372,0.003544357,0.019897529,0.006386861,0.013826502,0.003754913,0.004281303,0.038110612,0.005193711,0.002281022,0.055516564,0.00663251,0.009334643,0.182025547,0.080397249,0.042742841,0.036882369,0.000772038,0.034566255,0.057095733,0.010633071,0.019686974,0.020178271,0.009966311,0.049375351,0.01884475,0.019020213,0.008422235,0.049971926,0.015054745,0.008738069,0.012843908,0.012879001,0.00915918
1990,0.148460449,0.085876214,0.012717282,0.00445796,0.00829388,0.023084632,0.007533607,0.004561634,0.003732246,0.002833742,0.001036735,0.010194561,0.014099596,0.004388845,0.004077824,0.003213878,0.002419048,0.003248436,0.002349933,0.007360818,0.062584235,0.010125445,0.300756817,0.167121678,0.102049279,0.062791582,0.020631026,0.01866123,0.052977157,0.065314303,0.008501227,0.026194837,0.003455783,0.020458237,0.006669662,0.01403048,0.003905035,0.004216056,0.038877562,0.005080001,0.002591837,0.055914573,0.007775512,0.008915921,0.176936103,0.073573625,0.040052528,0.032760825,0.000760272,0.036182051,0.056743961,0.01036735,0.020354563,0.01945606,0.010436465,0.051145592,0.020078101,0.019421502,0.008708574,0.049141238,0.015689256,0.009537962,0.012579051,0.01403048,0.009468846
1991,0.138989228,0.086270298,0.01314719,0.00471867,0.00842852,0.023072668,0.007419701,0.004686127,0.003970191,0.002635947,0.001008819,0.00956751,0.013960754,0.004328159,0.004132904,0.003156627,0.002343064,0.003286797,0.002343064,0.007289531,0.05271893,0.009665137,0.301083667,0.168928374,0.106739562,0.062872205,0.025676071,0.018191285,0.051677568,0.064759673,0.008135637,0.026131667,0.00331934,0.020111296,0.007061733,0.013798041,0.003774936,0.004002734,0.039051059,0.004295617,0.002635947,0.056461323,0.007875297,0.009014286,0.167626672,0.068697322,0.035080868,0.032965603,0.000650851,0.032379837,0.056656578,0.009176999,0.019981125,0.019981125,0.009892935,0.050571122,0.021347912,0.018061115,0.008200722,0.047902633,0.015229913,0.008819031,0.012984477,0.01454652,0.008981744
1992,0.138796856,0.085850711,0.013350224,0.004580004,0.00877022,0.022315338,0.006821282,0.005067238,0.003995323,0.002501137,0.000909504,0.009809654,0.013902423,0.004125252,0.004125252,0.00324823,0.00240369,0.003313194,0.002338725,0.006918729,0.052978627,0.009777171,0.30783473,0.17576171,0.107516404,0.063925161,0.025401156,0.018190086,0.057201325,0.064444878,0.008185539,0.025563568,0.002988371,0.020236471,0.007470928,0.014064835,0.003832911,0.003865393,0.037744429,0.004580004,0.002728513,0.055544728,0.007503411,0.008835185,0.169817449,0.071103748,0.036737478,0.033196908,0.001169363,0.031605275,0.05768856,0.008315468,0.019879166,0.020431365,0.009419866,0.053076074,0.023549665,0.017313064,0.009030079,0.048723446,0.01598129,0.008900149,0.012570649,0.013837459,0.008932632
1993,0.137942929,0.085763562,0.013609282,0.005017247,0.008592035,0.02301662,0.007337723,0.0048291,0.004107871,0.002728128,0.000940734,0.009250549,0.01392286,0.004296018,0.004139229,0.003010348,0.002477266,0.003543431,0.002445908,0.007055503,0.052179367,0.008403888,0.302163688,0.169802446,0.104452807,0.058889934,0.025870179,0.019692694,0.053747256,0.066227658,0.008748824,0.026215114,0.003104421,0.020633427,0.007557228,0.012856695,0.003229853,0.003543431,0.038570085,0.004484164,0.002728128,0.05255566,0.00780809,0.008278457,0.170994042,0.072718721,0.038131076,0.033835058,0.000752587,0.030636563,0.057792411,0.007651301,0.019441831,0.021260583,0.009846347,0.055691439,0.025086234,0.017999373,0.009438696,0.05098777,0.018501098,0.009187833,0.01207275,0.014267796,0.008403888
