"","FIPS","County","Pop_Total","Pop_Urban","Pop_Rural","Pop_Rural_Farm","Pop_Rural_Nonfarm","Type","Pop_Male","Male_00_09","Male_10_19","Male_20_29","Male_30_39","Male_40_49","Male_50_59","Male_60_69","Male_70_79","Male_80_up","Pop_Female","Female_00_09","Female_10_19","Female_20_29","Female_30_39","Female_40_49","Female_50_59","Female_60_69","Female_70_79","Female_80_up","Male_Degree","Female_Degree","Pop_degree","Median_household_income","Total_median_earnings","Male_median_earnings","Female_median_earnings","Total_aggregate_earnings","Male_aggregate_earnings","Female_aggregate_earnings"
"1",230010101001,"Androscoggin",787,787,NA,NA,NA,"Urban",324,20,20,53,65,71,15,21,45,14,463,35,27,47,64,61,35,34,60,100,0.075098814,0.045212766,0.057233704,10205,13807,17065,10417,16319700,14468700,1851000
"2",230010101002,"Androscoggin",945,945,NA,NA,NA,"Urban",445,73,70,77,67,54,35,34,15,20,500,31,102,76,47,67,38,22,53,64,0.038062284,0.021472393,0.029268293,19007,17358,20789,13229,8328000,5784700,2543300
"3",230010102001,"Androscoggin",986,986,NA,NA,NA,"Urban",494,79,60,71,97,85,19,14,46,23,492,61,63,111,22,90,23,31,69,22,0.167182663,0.193846154,0.180555556,21836,19519,20804,14583,10068500,6491900,3576600
"4",230010102002,"Androscoggin",1895,1895,NA,NA,NA,"Urban",842,129,87,142,119,117,100,61,62,25,1053,109,116,152,166,148,114,130,70,48,0.14893617,0.094594595,0.11809816,30800,21250,26732,16895,25044800,13949800,11095000
"5",230010102009,"Androscoggin",1820,25,1795,38,1757,"Rural",822,72,134,85,87,157,73,78,51,85,998,82,134,34,130,128,107,49,109,225,0.307017544,0.275862069,0.289274924,47566,25227,29118,21212,27667400,18435800,9231500
"6",230010103001,"Androscoggin",1097,1097,NA,NA,NA,"Urban",546,100,56,125,90,44,72,43,16,0,551,75,21,141,92,62,66,48,36,10,0.042134831,0.096103896,0.070175439,28514,17550,19392,15571,13237800,7516000,5721800
"7",230010103002,"Androscoggin",1470,1470,NA,NA,NA,"Urban",757,125,119,146,130,97,75,25,19,21,713,123,140,115,100,82,70,33,25,25,0.266826923,0.243176179,0.255189255,32270,20331,22049,17560,26298600,17199700,9098900
"8",230010104001,"Androscoggin",1533,1533,NA,NA,NA,"Urban",703,84,138,55,94,142,45,66,19,60,830,74,116,38,86,140,53,57,84,182,0.247240618,0.212662338,0.227315248,43594,27500,36495,18380,23982300,14608700,9373700
"9",230010104002,"Androscoggin",683,683,NA,NA,NA,"Urban",336,28,69,25,76,43,49,29,5,12,347,29,46,7,54,76,50,10,17,58,0.166666667,0.143382353,0.153846154,45455,22891,26875,21141,9989000,6085500,3903500
"10",230010105001,"Androscoggin",930,930,NA,NA,NA,"Urban",449,85,80,93,62,33,42,31,15,8,481,57,55,115,84,68,42,24,24,12,0.085585586,0.098765432,0.093406593,22308,14970,15670,13824,9352300,4667900,4684500
