STATION,STATION_NAME,DATE,CLDD,HTDD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:USC00179151,WATERVILLE WWTP ME US,19580701,501,120,1331,0,333,94,262,133,197
GHCND:USC00179151,WATERVILLE WWTP ME US,19580801,542,144,958,0,306,67,265,127,196
GHCND:USC00179151,WATERVILLE WWTP ME US,19580901,192,1041,673,0,283,22,217,92,155
GHCND:USC00179151,WATERVILLE WWTP ME US,19581001,1,3122,1301,0,256,-50,138,26,82
GHCND:USC00179151,WATERVILLE WWTP ME US,19581101,0,4548,670,76,161,-106,76,-13,31
GHCND:USC00179151,WATERVILLE WWTP ME US,19581201,0,8468,472,-9999,67,-261,-30,-150,-90
GHCND:USC00179151,WATERVILLE WWTP ME US,19590101,0,7965,865,469,89,-250,-13,-135,-74
GHCND:USC00179151,WATERVILLE WWTP ME US,19590201,0,7554,415,432,72,-261,-16,-157,-87
GHCND:USC00179151,WATERVILLE WWTP ME US,19590301,0,5981,921,647,156,-206,52,-72,-10
GHCND:USC00179151,WATERVILLE WWTP ME US,19590401,0,3301,692,-9999,217,-67,140,6,73
GHCND:USC00179151,WATERVILLE WWTP ME US,19590501,242,1287,309,0,317,-17,229,69,149
GHCND:USC00179151,WATERVILLE WWTP ME US,19590601,115,755,1279,0,322,67,219,104,162
GHCND:USC00179151,WATERVILLE WWTP ME US,19590701,1110,21,627,0,333,83,292,149,221
GHCND:USC00179151,WATERVILLE WWTP ME US,19590801,1051,91,1158,0,344,72,278,150,214
GHCND:USC00179151,WATERVILLE WWTP ME US,19590901,482,881,915,0,311,-6,239,101,170
GHCND:USC00179151,WATERVILLE WWTP ME US,19591001,6,2694,1527,0,261,-72,148,45,96
GHCND:USC00179151,WATERVILLE WWTP ME US,19591101,0,4380,1781,148,211,-106,82,-8,37
GHCND:USC00179151,WATERVILLE WWTP ME US,19591201,0,6105,892,432,94,-178,20,-48,-14
GHCND:USC00179151,WATERVILLE WWTP ME US,19600101,0,7347,886,521,89,-278,1,-109,-54
GHCND:USC00179151,WATERVILLE WWTP ME US,19600201,0,5916,1229,788,94,-228,30,-72,-21
GHCND:USC00179151,WATERVILLE WWTP ME US,19600301,0,6363,638,203,83,-183,27,-72,-22
GHCND:USC00179151,WATERVILLE WWTP ME US,19600401,0,3543,756,0,211,-61,126,4,65
GHCND:USC00179151,WATERVILLE WWTP ME US,19600501,20,908,1122,0,294,-11,230,79,154
GHCND:USC00179151,WATERVILLE WWTP ME US,19600601,421,280,581,0,311,50,259,116,188
GHCND:USC00179151,WATERVILLE WWTP ME US,19600701,700,37,732,0,322,89,273,136,204
GHCND:USC00179151,WATERVILLE WWTP ME US,19600801,639,87,501,0,317,56,277,126,201
GHCND:USC00179151,WATERVILLE WWTP ME US,19600901,235,960,927,0,350,11,228,90,159
GHCND:USC00179151,WATERVILLE WWTP ME US,19601001,0,3034,672,0,194,-56,147,23,85
GHCND:USC00179151,WATERVILLE WWTP ME US,19601101,0,4263,961,0,161,-78,89,-7,41
GHCND:USC00179151,WATERVILLE WWTP ME US,19601201,0,7526,1139,475,89,-239,6,-126,-60
GHCND:USC00179151,WATERVILLE WWTP ME US,19610101,0,8879,396,509,83,-317,-34,-173,-103
GHCND:USC00179151,WATERVILLE WWTP ME US,19610201,0,6502,710,203,94,-289,19,-118,-49
GHCND:USC00179151,WATERVILLE WWTP ME US,19610301,0,5881,610,482,122,-178,60,-73,-7
GHCND:USC00179151,WATERVILLE WWTP ME US,19610401,0,3718,1328,102,200,-39,114,-4,55
GHCND:USC00179151,WATERVILLE WWTP ME US,19610501,65,1751,932,38,311,-33,194,52,123
GHCND:USC00179151,WATERVILLE WWTP ME US,19610601,297,382,809,0,333,22,254,106,180
GHCND:USC00179151,WATERVILLE WWTP ME US,19610701,692,161,732,0,317,50,266,136,201
GHCND:USC00179151,WATERVILLE WWTP ME US,19610801,716,160,180,0,322,56,273,130,202
GHCND:USC00179151,WATERVILLE WWTP ME US,19610901,848,383,1057,0,344,11,271,126,199
GHCND:USC00179151,WATERVILLE WWTP ME US,19611001,0,2157,628,0,256,-33,175,52,113
GHCND:USC00179151,WATERVILLE WWTP ME US,19611101,0,4135,1290,381,167,-83,86,5,45
GHCND:USC00179151,WATERVILLE WWTP ME US,19611201,0,6734,760,358,89,-178,12,-80,-34
GHCND:USC00179151,WATERVILLE WWTP ME US,19620101,0,7690,528,355,100,-239,-11,-136,-73
GHCND:USC00179151,WATERVILLE WWTP ME US,19620201,0,7039,399,533,56,-350,-20,-156,-88
GHCND:USC00179151,WATERVILLE WWTP ME US,19620301,0,5283,348,457,206,-206,74,-49,13
