YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2011 01 01 05 50 234  4.7  5.5  1.02  4.55  4.21 999 9999.0   7.1   7.4 999.0 99.0 99.00
2011 01 01 06 50 244  6.5  7.5  1.04  5.00  4.23 999 9999.0   7.1   7.3 999.0 99.0 99.00
2011 01 01 07 50 239  5.7  7.1  1.15  5.00  4.41 999 9999.0   7.1   7.1 999.0 99.0 99.00
2011 01 01 08 50 235  4.9  6.2  1.13  5.26  4.45 999 9999.0   7.0   7.2 999.0 99.0 99.00
2011 01 01 09 50 235  7.0  8.4  1.20  5.26  4.56 999 9999.0   7.1   7.2 999.0 99.0 99.00
2011 01 01 10 50 258  4.5  5.3  1.23  5.56  4.77 999 9999.0   7.4   7.4 999.0 99.0 99.00
2011 01 01 11 50 272  3.5  4.3  1.20  5.56  4.77 999 9999.0   7.1   7.4 999.0 99.0 99.00
2011 01 01 12 50 284  3.0  3.8  1.13  5.88  4.71 999 9999.0   7.4   7.1 999.0 99.0 99.00
2011 01 01 13 50 262  1.8  2.8  1.02  5.56  4.82 999 9999.0   9.0   7.1 999.0 99.0 99.00
2011 01 01 14 50 265  2.2  2.8  0.99  5.26  4.80 999 9999.0   8.1   7.1 999.0 99.0 99.00
2011 01 01 15 50 262  3.3  4.1  0.95  5.26  4.68 999 9999.0   9.7   7.4 999.0 99.0 99.00
2011 01 01 16 50 285  2.0  2.5  0.88  5.88  4.66 999 9999.0   9.5   7.4 999.0 99.0 99.00
2011 01 01 17 50 291  1.8  2.3  0.84  5.88  4.71 999 9999.0   8.3   7.4 999.0 99.0 99.00
2011 01 01 18 50 319  2.2  2.6  0.86  5.88  4.58 999 9999.0   8.3   7.4 999.0 99.0 99.00
2011 01 01 19 50  50  1.7  2.4  0.87  5.26  4.67 999 9999.0   8.0   7.4 999.0 99.0 99.00
2011 01 01 20 50  93  2.1  2.7  0.81  5.56  4.65 999 9999.0   7.1   7.4 999.0 99.0 99.00
2011 01 01 21 50 165  2.0  2.5  0.76  5.88  4.58 999 9999.0   7.1   7.4 999.0 99.0 99.00
2011 01 01 22 50 172  1.9  2.6  0.78  5.26  4.54 999 9999.0   7.1   7.4 999.0 99.0 99.00
2011 01 01 23 50  90  2.6  3.1  0.70  5.56  4.52 999 9999.0   7.1   7.4 999.0 99.0 99.00
2011 01 02 00 50 104  4.0  4.8  0.67  5.26  4.50 999 9999.0   7.4   7.4 999.0 99.0 99.00
2011 01 02 01 50 119  6.0  7.1  0.56  6.25  4.52 999 9999.0   7.4   7.4 999.0 99.0 99.00
2011 01 02 02 50 124  5.9  7.0  0.58  5.26  4.29 999 9999.0   7.5   7.4 999.0 99.0 99.00
2011 01 02 03 50 134  6.0  6.9  0.58  4.76  3.81 999 9999.0   7.5   7.4 999.0 99.0 99.00
2011 01 02 04 50 144  7.1  8.6  0.63  5.56  3.74 999 9999.0   7.8   7.4 999.0 99.0 99.00
2011 01 02 05 50 156  5.6  7.2  0.61  3.57  3.90 999 9999.0   7.9   7.4 999.0 99.0 99.00
2011 01 02 06 50 166  5.6  6.6  0.67  3.45  3.89 999 9999.0   8.2   7.4 999.0 99.0 99.00
2011 01 02 07 50 170  5.6  6.4  0.81  4.00  3.88 999 9999.0   8.3   7.4 999.0 99.0 99.00
2011 01 02 08 50 188  5.6  6.8  0.84  4.00  3.88 999 9999.0   8.2   7.4 999.0 99.0 99.00
2011 01 02 09 50 218  5.8  6.6  0.90  4.17  3.99 999 9999.0   8.2   7.4 999.0 99.0 99.00
2011 01 02 10 50 225  5.9  7.0  1.17  4.55  4.23 999 9999.0   7.9   7.4 999.0 99.0 99.00
2011 01 02 11 50 254  4.4  5.4  1.12  5.00  4.30 999 9999.0   7.9   7.4 999.0 99.0 99.00
2011 01 02 12 50 230  2.6  3.7  1.07  5.00  4.42 999 9999.0   7.5   7.4 999.0 99.0 99.00
2011 01 02 13 50 239  5.3  6.1  1.00  5.00  4.40 999 9999.0   7.5   7.4 999.0 99.0 99.00
2011 01 02 14 50 237  4.1  5.0  1.01  5.26  4.49 999 9999.0   7.9   7.4 999.0 99.0 99.00
2011 01 02 15 50 274  5.4  6.3  0.88  5.00  4.33 999 9999.0   7.6   7.4 999.0 99.0 99.00
2011 01 02 16 50 287  4.5  5.3  0.77  5.00  4.09 999 9999.0   7.1   7.3 999.0 99.0 99.00
2011 01 02 17 50 315  5.1  6.4  0.71  5.00  4.18 999 9999.0   7.1   7.4 999.0 99.0 99.00
2011 01 02 18 50 333  2.8  3.5  0.66  5.00  4.14 999 9999.0   7.1   7.4 999.0 99.0 99.00
2011 01 02 19 50 271  4.0  4.6  0.62  5.00  4.06 999 9999.0   7.2   7.4 999.0 99.0 99.00
2011 01 02 20 50 331  4.4  4.9  0.60  4.76  4.08 999 9999.0   6.7   7.4 999.0 99.0 99.00
2011 01 02 21 50 346  1.9  3.9  0.63  4.55  4.16 999 9999.0   6.4   7.4 999.0 99.0 99.00
2011 01 02 22 50 308  2.5  3.3  0.64  4.55  4.16 999 9999.0   6.4   7.4 999.0 99.0 99.00
2011 01 02 23 50 339  1.9  2.8  0.60  4.35  4.12 999 9999.0   6.3   7.2 999.0 99.0 99.00
2011 01 03 00 50  50  1.8  2.8  0.57  5.00  4.09 999 9999.0   6.3   7.2 999.0 99.0 99.00
2011 01 03 01 50 274  2.2  2.9  0.57  5.88  4.27 999 9999.0   6.1   7.2 999.0 99.0 99.00
2011 01 03 02 50 312  3.3  3.8  0.55  5.26  4.23 999 9999.0   6.0   7.4 999.0 99.0 99.00
2011 01 03 03 50 283  5.1  6.1  0.60  6.25  4.47 999 9999.0   6.3   7.2 999.0 99.0 99.00
2011 01 03 04 50 333  5.5  6.5  0.57  6.25  4.35 999 9999.0   6.0   7.4 999.0 99.0 99.00
2011 01 03 05 50  13  5.2  7.2  0.52  5.56  3.72 999 9999.0   5.7   7.4 999.0 99.0 99.00
2011 01 03 06 50 345  6.8  8.0  0.58  2.94  3.36 999 9999.0   5.3   7.4 999.0 99.0 99.00
2011 01 03 07 50 342 14.1 17.1  1.44  4.17  3.86 999 9999.0   3.0   7.2 999.0 99.0 99.00
2011 01 03 08 50 337 13.5 15.8  2.26  5.56  4.66 999 9999.0   2.9   7.1 999.0 99.0 99.00
2011 01 03 09 50 334 12.9 16.1  2.67  5.88  5.09 999 9999.0   2.4   7.1 999.0 99.0 99.00
2011 01 03 10 50 317 13.4 18.3  2.81  6.25  5.28 999 9999.0   1.8   7.4 999.0 99.0 99.00
2011 01 03 11 50 318 14.9 18.8  3.24  6.25  5.46 999 9999.0   0.6   7.4 999.0 99.0 99.00
2011 01 03 12 50 318 13.3 16.4  2.93  6.67  5.37 999 9999.0   0.8   7.4 999.0 99.0 99.00
2011 01 03 13 50 314 12.3 15.6  2.62  6.25  5.30 999 9999.0   1.2   7.4 999.0 99.0 99.00
2011 01 03 14 50 315 11.6 14.7  2.86  6.67  5.53 999 9999.0   1.7   7.1 999.0 99.0 99.00
2011 01 03 15 50 307 12.0 15.4  2.81  6.67  5.33 999 9999.0   1.2   7.1 999.0 99.0 99.00
2011 01 03 16 50 308 13.0 15.6  2.57  7.14  5.26 999 9999.0   2.1   7.1 999.0 99.0 99.00
2011 01 03 17 50 298 12.3 14.9  2.53  7.14  5.32 999 9999.0   1.6   7.1 999.0 99.0 99.00
2011 01 03 18 50 298 12.7 16.6  2.43  6.25  5.04 999 9999.0   2.2   7.1 999.0 99.0 99.00
2011 01 03 19 50 308 11.8 14.3  2.67  6.67  5.26 999 9999.0   1.5   7.1 999.0 99.0 99.00
2011 01 03 20 50 300 12.3 16.0  2.63  6.67  5.20 999 9999.0   1.1   7.1 999.0 99.0 99.00
2011 01 03 21 50 306 12.4 15.2  2.58  6.67  5.32 999 9999.0   0.5   7.1 999.0 99.0 99.00
2011 01 03 22 50 311 12.5 15.0  2.60  6.67  5.20 999 9999.0   0.5   7.1 999.0 99.0 99.00
2011 01 03 23 50 311 11.3 14.1  2.45  5.88  5.12 999 9999.0   0.2   7.1 999.0 99.0 99.00
